,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
1850,73509026,703 AVALON WAY,9/21/20,2020,9,2020-9,399900,1994,2638,151.5921152,33.4261391,-84.5874114,13113140207,West Fayette,POINT (-84.5874114 33.4261391)
6649,51812011,120 WOODBROOKE CT,1/22/21,2021,1,2021-1,290000,1996,1913,151.5943544,33.4351058,-84.4494304,13113140409,Fayetteville,POINT (-84.4494304 33.4351058)
946,51104020,300 ESSEX CIR,4/8/22,2022,4,2022-4,337000,1980,2223,151.5969411,33.4160967,-84.4488746,13113140405,Fayetteville,POINT (-84.4488746 33.4160967)
14355,55002016,265 THORNTON DR,4/29/21,2021,4,2021-4,402500,1987,2655,151.6007533,33.5061445,-84.4683929,13113140102,Fayetteville,POINT (-84.4683929 33.5061445)
5346,0407  076,160 ROBINSON RD,8/21/20,2020,8,2020-8,520000,2018,3430,151.6034985,33.2898755,-84.4372232,13113140502,South Fayette,POINT (-84.4372232 33.2898755)
14721,74316017,137 KENMARE ROW,8/17/18,2018,8,2018-8,505000,2015,3331,151.6061243,33.4541099,-84.6176187,13113140210,West Fayette,POINT (-84.6176187 33.4541099)
1688,74603001,10 AMERICAN WALK,9/15/20,2020,9,2020-9,320200,2003,2112,151.6098485,33.4057268,-84.6083394,13113140210,West Fayette,POINT (-84.6083394 33.4057268)
6145,61408032,200 TERRANE RDG,4/29/20,2020,4,2020-4,517000,1994,3410,151.6129032,33.3826866,-84.5881683,13113140303,West Fayette,POINT (-84.5881683 33.3826866)
10672,60715012,301 KENNERLY WAY,7/29/21,2021,7,2021-7,400000,1987,2638,151.6300227,33.3733856,-84.541815,13113140309,South Fayette,POINT (-84.541815 33.3733856)
14101,53501072,121 TALL PINE DR,12/29/22,2022,12,2022-12,348000,1976,2295,151.6339869,33.4750864,-84.4912243,13113140403,Fayetteville,POINT (-84.4912243 33.4750864)
7627,73618016,215 ASHMERE CT,11/23/20,2020,11,2020-11,750000,2006,4946,151.637687,33.4468761,-84.5938142,13113140206,West Fayette,POINT (-84.5938142 33.4468761)
9582,72819006,175 DEVONSHIRE PL,6/25/19,2019,6,2019-6,399900,2001,2637,151.6496018,33.462881,-84.5778776,13113140203,West Fayette,POINT (-84.5778776 33.462881)
4193,60215034,203 KNOLLWOOD CT,7/11/19,2019,7,2019-7,485000,1999,3198,151.6572858,33.3675591,-84.5285469,13113140307,South Fayette,POINT (-84.5285469 33.3675591)
2151,60510007,120 DOMINO CT,3/15/19,2019,3,2019-3,189875,1990,1252,151.6573482,33.3140949,-84.5174059,13113140502,South Fayette,POINT (-84.5174059 33.3140949)
12348,53306002,240 ROCKY FORK BLVD,2/23/22,2022,2,2022-2,448000,2014,2954,151.6587678,33.4629359,-84.4025336,13113140406,Fayetteville,POINT (-84.4025336 33.4629359)
5869,73509004,847 SOUTHERN SHORE DR,7/6/18,2018,7,2018-7,515500,1994,3399,151.6622536,33.4272983,-84.587565,13113140207,West Fayette,POINT (-84.587565 33.4272983)
14194,51811008,70 WOODGATE DR,12/15/22,2022,12,2022-12,300000,1995,1978,151.6683519,33.4350225,-84.4502689,13113140409,Fayetteville,POINT (-84.4502689 33.4350225)
6113,61130010,2039 VILLAGE PARK,3/13/20,2020,3,2020-3,285000,1998,1879,151.6764236,33.3718785,-84.5593307,13113140309,South Fayette,POINT (-84.5593307 33.3718785)
11830,72810014,100 FARR LAKE DR,11/3/21,2021,11,2021-11,370000,1999,2439,151.701517,33.4648809,-84.5766909,13113140203,West Fayette,POINT (-84.5766909 33.4648809)
12385,51007006,155 TRACE CT,2/16/22,2022,2,2022-2,407500,2002,2686,151.7125838,33.4126732,-84.4524015,13113140405,Fayetteville,POINT (-84.4524015 33.4126732)
4959,51626001,215 LOCKMEADE WAY,5/2/22,2022,5,2022-5,455000,2000,2999,151.7172391,33.4180344,-84.4796252,13113140404,Fayetteville,POINT (-84.4796252 33.4180344)
13583,51208062,125 MOUNTAIN VIEW CT,8/15/19,2019,8,2019-8,298000,2018,1964,151.7311609,33.4106152,-84.4181488,13113140408,South Fayette,POINT (-84.4181488 33.4106152)
13829,74307026,355 ASHLAND TRL,8/26/21,2021,8,2021-8,432000,1988,2847,151.7386723,33.4589713,-84.6114231,13113140210,West Fayette,POINT (-84.6114231 33.4589713)
12584,70707005,205 BUTTERFIELD LN,9/24/21,2021,9,2021-9,305000,1994,2010,151.7412935,33.4899914,-84.5153986,13113140204,West Fayette,POINT (-84.5153986 33.4899914)
