,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month
2783,053118010,190 BRITTANY CHASE,2019-05-22,215000.0,1989,1641,190 Brittany Chase Fayette County GA,053118010-5/22/2019-215000.0,131.01767215112736,2019,2019,5,2019-5
2784,073910012,119 GREEN BR,2019-04-26,317700.0,2003,3216,119 Green Br Fayette County GA,073910012-4/26/2019-317700.0,98.78731343283582,2019,2019,4,2019-4
2785,051115008,270 WAKEFIELD PL,2019-05-31,216000.0,1987,1927,270 Wakefield Pl Fayette County GA,051115008-5/31/2019-216000.0,112.09133367929424,2019,2019,5,2019-5
2786,051202018,300 MERRYDALE DR,2019-05-31,219000.0,1984,1958,300 Merrydale Dr Fayette County GA,051202018-5/31/2019-219000.0,111.8488253319714,2019,2019,5,2019-5
2787,052416004,205 AUTUMN GLEN CIR,2019-05-31,175000.0,1999,1479,205 Autumn Glen Cir Fayette County GA,052416004-5/31/2019-175000.0,118.32319134550372,2019,2019,5,2019-5
2788,053118043,170 FENWYCK COMMONS,2019-05-31,195000.0,1987,1468,170 Fenwyck Commons Fayette County GA,053118043-5/31/2019-195000.0,132.83378746594005,2019,2019,5,2019-5
2789,052422023,180 STILLWOOD DR,2019-05-31,256000.0,2001,2476,180 Stillwood Dr Fayette County GA,052422023-5/31/2019-256000.0,103.39256865912762,2019,2019,5,2019-5
2790,054305008,180 MIDDLING LN,2019-05-31,159800.0,1982,1570,180 Middling Ln Fayette County GA,054305008-5/31/2019-159800.0,101.78343949044586,2019,2019,5,2019-5
2791,060210019,110 WOODMERE LN,2019-05-31,546000.0,1998,2636,110 Woodmere Ln Fayette County GA,060210019-5/31/2019-546000.0,207.1320182094082,2019,2019,5,2019-5
2792,070906022,130 VIRGIL DR,2019-05-31,372100.0,2018,3031,130 Virgil Dr Fayette County GA,070906022-5/31/2019-372100.0,122.76476410425602,2019,2019,5,2019-5
2793,073404045,103 BEAVER RUN,2019-05-31,460000.0,1977,2784,103 Beaver Run Fayette County GA,073404045-5/31/2019-460000.0,165.22988505747125,2019,2019,5,2019-5
2794,074511014,302 HONEY LOCUST CT,2019-05-31,483867.0,2018,1848,302 Honey Locust Ct Fayette County GA,074511014-5/31/2019-483867.0,261.8327922077922,2019,2019,5,2019-5
2795,0409  011,330 PRICE RD,2019-05-31,210000.0,1963,1416,330 Price Rd Fayette County GA,0409  011-5/31/2019-210000.0,148.3050847457627,2019,2019,5,2019-5
2796,0413  033,108 MORGAN MILL RD,2019-05-31,399000.0,2018,2735,108 Morgan Mill Rd Fayette County GA,0413  033-5/31/2019-399000.0,145.88665447897623,2019,2019,5,2019-5
2797,073925014,123 WESTMONT WAY,2019-05-31,370000.0,2006,3376,123 Westmont Way Fayette County GA,073925014-5/31/2019-370000.0,109.59715639810426,2019,2019,5,2019-5
2798,050201023,120 MCELWANEY WAY,2019-05-31,459000.0,1993,2531,120 Mcelwaney Way Fayette County GA,050201023-5/31/2019-459000.0,181.3512445673647,2019,2019,5,2019-5
2799,053510016,345 SAGE LN,2019-05-31,499900.0,2019,1704,345 Sage Ln Fayette County GA,053510016-5/31/2019-499900.0,293.36854460093895,2019,2019,5,2019-5
2800,0719  138,140 SUMNER RD,2019-05-31,358900.0,2019,2421,140 Sumner Rd Fayette County GA,0719  138-5/31/2019-358900.0,148.244527054936,2019,2019,5,2019-5
2801,044905003,125 BELLFAIR RUN,2019-05-31,570000.0,2013,4100,125 Bellfair Run Fayette County GA,044905003-5/31/2019-570000.0,139.02439024390245,2019,2019,5,2019-5
2802,060327008,355 SWAIN'S DR,2019-05-31,700000.0,2013,2733,355 Swain'S Dr Fayette County GA,060327008-5/31/2019-700000.0,256.12879619465787,2019,2019,5,2019-5
2803,073501001,100 SHIREWOOD PK,2019-05-31,379700.0,1992,1738,100 Shirewood Pk Fayette County GA,073501001-5/31/2019-379700.0,218.46950517836595,2019,2019,5,2019-5
2804,0518  066,180 GANTT LN,2019-05-31,235000.0,1977,2155,180 Gantt Ln Fayette County GA,0518  066-5/31/2019-235000.0,109.04872389791183,2019,2019,5,2019-5
2805,0709  037,397 LEES LAKE RD,2019-05-31,490000.0,1991,2680,397 Lees Lake Rd Fayette County GA,0709  037-5/31/2019-490000.0,182.83582089552237,2019,2019,5,2019-5
2806,072809007,185 TAYLOR RIDGE CT,2019-05-31,350000.0,1994,2333,185 Taylor Ridge Ct Fayette County GA,072809007-5/31/2019-350000.0,150.02143163309043,2019,2019,5,2019-5
2807,073418006,619 MAGNOLIA LN,2019-05-30,379500.0,1991,2164,619 Magnolia Ln Fayette County GA,073418006-5/30/2019-379500.0,175.36968576709796,2019,2019,5,2019-5
